img_id,pais,clase_pred,tipo_via,barrio,confianza,area_rel,aspecto,cy_rel,cx_rel,n_det_imagen,lat,lon,prioridad
demo_37,demo,D40,local,Barrio Obrero,0.80966,0.01169,2.00419,0.84175,0.58127,4,-25.3188,-57.62429,media
demo_38,demo,D40,arterial,Recoleta,0.30413,0.00322,1.7323,0.69458,0.62303,4,-25.2949,-57.60878,alta
demo_39,demo,D40,colectora,Trinidad,0.26452,0.00373,2.30077,0.76171,0.62004,4,-25.26268,-57.59985,media
demo_40,demo,D40,colectora,Barrio Obrero,0.11444,0.00295,2.31643,0.76004,0.60935,4,-25.31347,-57.62556,media
demo_41,demo,D00,local,Recoleta,0.16343,0.00742,0.40262,0.76485,0.435,1,-25.29024,-57.6116,baja
demo_42,demo,D00,colectora,Recoleta,0.20958,0.00646,0.26812,0.76998,0.56555,4,-25.28844,-57.61149,baja
demo_43,demo,D00,colectora,Sajonia,0.19339,0.06366,0.92932,0.81027,0.18517,4,-25.29645,-57.64571,media
demo_44,demo,D00,colectora,Centro,0.15827,0.00443,0.27491,0.78733,0.56887,4,-25.28516,-57.64128,baja
demo_45,demo,D00,local,Carmelitas,0.10764,0.00306,0.27384,0.79323,0.57047,4,-25.28923,-57.57771,baja
demo_46,demo,D40,local,Centro,0.39393,0.00762,3.28865,0.58488,0.57273,3,-25.27648,-57.6321,media
demo_47,demo,D40,colectora,Trinidad,0.26651,0.01489,2.32963,0.59945,0.58551,3,-25.25909,-57.60114,media
demo_48,demo,D40,arterial,Carmelitas,0.2198,0.04164,1.08317,0.65404,0.59885,3,-25.28857,-57.57472,alta
demo_49,demo,D00,local,Sajonia,0.63315,0.10182,0.10314,0.50322,0.4624,3,-25.29883,-57.64401,media
demo_50,demo,D00,colectora,Villa Morra,0.27306,0.07419,0.10484,0.57941,0.47307,3,-25.29616,-57.57696,media
demo_51,demo,D00,colectora,Centro,0.15618,0.06166,0.07777,0.44522,0.44416,3,-25.28503,-57.63584,media
demo_52,demo,D00,colectora,Sajonia,0.5929,0.10886,0.10907,0.49958,0.61778,2,-25.2929,-57.64432,media
demo_53,demo,D00,arterial,Carmelitas,0.1409,0.09979,0.14045,0.57854,0.63297,2,-25.28103,-57.57094,alta
demo_54,demo,D20,colectora,Centro,0.79618,0.18889,0.46314,0.5231,0.85211,3,-25.28272,-57.63303,alta
demo_55,demo,D20,arterial,Barrio Obrero,0.5637,0.16958,0.90027,0.50075,0.23068,3,-25.31512,-57.62779,alta
demo_56,demo,D00,arterial,Recoleta,0.17428,0.00496,0.51857,0.34582,0.3384,3,-25.29298,-57.61169,media
demo_57,demo,D40,local,Las Mercedes,0.16724,0.00482,1.61731,0.70744,0.08498,2,-25.28919,-57.62297,baja
demo_58,demo,D00,arterial,Sajonia,0.13069,0.00769,0.61098,0.72935,0.35661,2,-25.29328,-57.6409,media
demo_59,demo,D40,arterial,San Vicente,0.22663,0.00428,0.71694,0.22326,0.02768,3,-25.3128,-57.60891,alta
demo_60,demo,D10,local,Trinidad,0.18408,0.18877,5.24957,0.90421,0.49965,3,-25.25108,-57.59534,media
demo_61,demo,D40,arterial,Las Mercedes,0.10254,0.01199,0.35277,0.17036,0.03252,3,-25.29531,-57.62205,alta
demo_62,demo,D10,arterial,San Vicente,0.59702,0.01036,8.13708,0.71334,0.38488,2,-25.31008,-57.6057,media
demo_63,demo,D00,colectora,Mburucuyá,0.26124,0.02879,0.44873,0.74077,0.54923,2,-25.28236,-57.58077,media
demo_64,demo,D20,colectora,Carmelitas,0.76671,0.26683,3.26477,0.83103,0.46667,1,-25.28498,-57.57191,alta
demo_65,demo,D00,arterial,Recoleta,0.14783,0.02058,0.64074,0.76515,0.36039,1,-25.29455,-57.61078,media
demo_66,demo,D10,arterial,Sajonia,0.48321,0.0673,4.01558,0.20791,0.26065,5,-25.29054,-57.6472,media
demo_67,demo,D00,local,Mburucuyá,0.17944,0.0095,0.95166,0.22091,0.56077,5,-25.28069,-57.58209,baja
demo_68,demo,D10,local,Recoleta,0.17417,0.00671,2.96197,0.28776,0.92928,5,-25.29135,-57.60964,baja
demo_69,demo,D10,arterial,Barrio Obrero,0.11072,0.07549,3.44109,0.18413,0.25483,5,-25.31213,-57.62481,media
demo_70,demo,D00,arterial,Trinidad,0.10396,0.02229,0.17542,0.45221,0.51769,5,-25.25495,-57.59992,media
demo_71,demo,D00,local,Recoleta,0.12121,0.01314,0.6633,0.91601,0.82193,1,-25.29065,-57.61164,baja
demo_72,demo,D00,local,Carmelitas,0.14333,0.04503,0.38573,0.82264,0.41404,1,-25.28794,-57.56763,media
demo_73,demo,D00,colectora,Barrio Obrero,0.54666,0.07006,0.50584,0.80095,0.11985,2,-25.32157,-57.62514,media
demo_74,demo,D00,arterial,Carmelitas,0.12606,0.04172,0.35325,0.81893,0.4155,2,-25.28567,-57.57164,media
demo_75,demo,D00,arterial,Mburucuyá,0.80554,0.01796,0.39233,0.89008,0.25573,1,-25.2823,-57.5755,media
demo_76,demo,D10,arterial,Las Mercedes,0.1037,0.01509,2.38021,0.55512,0.90525,1,-25.29127,-57.62116,baja
demo_77,demo,D00,local,Recoleta,0.33136,0.04091,0.39868,0.83881,0.52673,1,-25.29643,-57.61093,media
demo_78,demo,D20,local,Trinidad,0.64057,0.22602,4.23408,0.72153,0.49756,2,-25.25696,-57.59367,alta
demo_79,demo,D20,arterial,Trinidad,0.12471,0.16637,3.22695,0.73103,0.6216,2,-25.26489,-57.59251,alta
demo_80,demo,D20,colectora,Trinidad,0.75217,0.20618,1.79793,0.83055,0.5382,3,-25.25911,-57.5933,alta
demo_81,demo,D00,arterial,Centro,0.51128,0.02,1.08661,0.87705,0.1425,3,-25.2791,-57.6391,media
demo_82,demo,D10,arterial,Villa Morra,0.20112,0.01652,7.263,0.72375,0.26003,3,-25.29414,-57.5788,media
demo_83,demo,D00,arterial,Trinidad,0.56591,0.01376,0.56493,0.78318,0.35328,14,-25.25915,-57.59831,media
demo_84,demo,D00,colectora,Las Mercedes,0.40307,0.00166,0.39543,0.66725,0.3252,14,-25.2884,-57.62502,baja
demo_85,demo,D10,local,Recoleta,0.17927,0.00348,6.45066,0.6987,0.40394,14,-25.2979,-57.61365,baja
demo_86,demo,D20,arterial,San Vicente,0.15386,0.03281,0.61078,0.7951,0.15979,14,-25.31169,-57.60757,alta
demo_87,demo,D10,colectora,Barrio Obrero,0.1508,0.0021,5.12976,0.70051,0.27944,14,-25.31112,-57.61788,baja
demo_88,demo,D00,colectora,Las Mercedes,0.14078,0.00326,0.57006,0.87974,0.10989,14,-25.29561,-57.62209,baja
demo_89,demo,D00,colectora,Sajonia,0.13884,0.03145,0.60365,0.79714,0.16046,14,-25.29313,-57.64574,media
demo_90,demo,D10,arterial,San Vicente,0.12915,0.00186,3.79698,0.70384,0.26972,14,-25.31037,-57.60732,baja
demo_91,demo,D00,colectora,Villa Morra,0.11722,0.00652,0.65701,0.94168,0.03272,14,-25.29284,-57.58058,baja
demo_92,demo,D00,local,Carmelitas,0.11009,0.02421,1.17481,0.70063,0.08974,14,-25.28378,-57.57297,media
demo_93,demo,D10,arterial,Centro,0.10662,0.00722,10.42162,0.69889,0.35534,14,-25.27829,-57.64305,media
demo_94,demo,D00,local,Barrio Obrero,0.10451,0.0163,1.03904,0.72401,0.0662,14,-25.32052,-57.62635,baja
demo_95,demo,D20,colectora,Centro,0.10104,0.01576,0.64673,0.73409,0.19409,14,-25.2804,-57.63508,baja
demo_96,demo,D10,local,Villa Morra,0.10016,0.00411,6.46732,0.70278,0.40521,14,-25.28976,-57.5718,baja
demo_97,demo,D00,colectora,Carmelitas,0.16403,0.00634,0.19972,0.28693,0.28653,1,-25.28115,-57.57418,baja
demo_98,demo,D10,arterial,San Vicente,0.52296,0.01278,6.45153,0.53569,0.30979,6,-25.31216,-57.6001,media
demo_99,demo,D00,local,Carmelitas,0.27024,0.00159,0.47516,0.39504,0.74371,6,-25.28484,-57.5753,baja
demo_100,demo,D00,local,Mburucuyá,0.23259,0.00971,0.32164,0.76706,0.60208,6,-25.28185,-57.5753,baja
demo_101,demo,D10,arterial,Sajonia,0.18388,0.0354,7.85645,0.5801,0.73632,6,-25.29245,-57.65106,media
demo_102,demo,D10,colectora,Recoleta,0.16895,0.00573,6.11532,0.46647,0.33888,6,-25.29192,-57.60969,baja
demo_103,demo,D20,arterial,Recoleta,0.11821,0.37773,1.4874,0.62173,0.62522,6,-25.29295,-57.60961,alta
demo_104,demo,D10,colectora,Villa Morra,0.44308,0.00693,7.37876,0.67921,0.29543,6,-25.29635,-57.5774,baja
demo_105,demo,D00,colectora,Centro,0.26735,0.0047,0.23381,0.69711,0.42589,6,-25.28354,-57.63881,baja
demo_106,demo,D10,colectora,Carmelitas,0.23014,0.01017,9.18715,0.68052,0.25749,6,-25.27824,-57.5726,baja
demo_107,demo,D10,local,Villa Morra,0.13114,0.02982,12.49178,0.67156,0.45797,6,-25.29655,-57.5803,media
demo_108,demo,D00,local,Trinidad,0.12515,0.00702,0.27367,0.70464,0.42876,6,-25.26306,-57.59511,baja
demo_109,demo,D10,arterial,Trinidad,0.11347,0.01113,5.49531,0.66813,0.6368,6,-25.2591,-57.59436,media
demo_110,demo,D40,arterial,Recoleta,0.35037,0.00462,1.44127,0.7527,0.80154,2,-25.29549,-57.60572,alta
demo_111,demo,D40,local,Carmelitas,0.14634,0.00185,1.45215,0.67196,0.75049,2,-25.29188,-57.57465,media
demo_112,demo,D00,local,Trinidad,0.64,0.14265,1.13957,0.81867,0.72121,4,-25.26055,-57.59492,media
demo_113,demo,D00,arterial,Mburucuyá,0.56751,0.02961,0.52516,0.72945,0.43086,4,-25.28281,-57.58303,media
demo_114,demo,D00,local,Centro,0.16857,0.06399,0.51274,0.79836,0.46489,4,-25.28343,-57.63256,media
demo_115,demo,D00,arterial,San Vicente,0.12984,0.0018,0.40418,0.64085,0.38299,4,-25.31266,-57.60212,baja
demo_116,demo,D00,local,Centro,0.5317,0.01216,0.59593,0.92855,0.34047,2,-25.28123,-57.6376,baja
demo_117,demo,D00,arterial,Recoleta,0.20844,0.01737,0.83938,0.92808,0.3239,2,-25.29637,-57.60547,media
demo_118,demo,D00,arterial,Carmelitas,0.71715,0.01285,0.47791,0.75325,0.50028,1,-25.28627,-57.57119,media
demo_119,demo,D00,arterial,Mburucuyá,0.3826,0.05973,0.7943,0.8221,0.16144,6,-25.28164,-57.57795,media
demo_120,demo,D00,arterial,Villa Morra,0.2952,0.03744,0.82178,0.88459,0.70596,6,-25.2954,-57.57186,media
demo_121,demo,D00,local,Carmelitas,0.23592,0.04045,0.99453,0.79142,0.17182,6,-25.28075,-57.5784,media
demo_122,demo,D00,arterial,Trinidad,0.13812,0.0082,0.79783,0.65282,0.53507,6,-25.25441,-57.59675,media
demo_123,demo,D00,colectora,Barrio Obrero,0.13382,0.00545,0.72933,0.65679,0.53749,6,-25.31573,-57.62397,baja
demo_124,demo,D00,colectora,Villa Morra,0.10385,0.06339,0.83894,0.78976,0.1764,6,-25.29296,-57.57507,baja
demo_125,demo,D10,local,Trinidad,0.54705,0.01131,5.81677,0.81209,0.28834,8,-25.25718,-57.59454,baja
demo_126,demo,D00,local,Mburucuyá,0.22365,0.00765,2.35552,0.97121,0.06761,8,-25.27785,-57.57808,baja
demo_127,demo,D20,local,Carmelitas,0.17844,0.15688,1.874,0.84988,0.7281,8,-25.28251,-57.57284,alta
demo_128,demo,D00,colectora,Las Mercedes,0.17528,0.00532,1.52571,0.97046,0.09035,8,-25.29651,-57.61904,baja
demo_129,demo,D00,local,Villa Morra,0.13364,0.00357,1.04477,0.97075,0.10361,8,-25.2925,-57.57593,baja
demo_130,demo,D20,arterial,Carmelitas,0.13134,0.08657,1.09371,0.85802,0.61524,8,-25.28234,-57.57115,alta
demo_131,demo,D10,colectora,Centro,0.12749,0.00219,3.55767,0.8586,0.21956,8,-25.28767,-57.63609,baja
demo_132,demo,D10,arterial,Trinidad,0.10463,0.01878,3.06026,0.91299,0.88013,8,-25.2594,-57.59421,media
demo_133,demo,D20,arterial,Carmelitas,0.70726,0.13962,1.52627,0.84877,0.33624,4,-25.2906,-57.57475,alta
demo_134,demo,D20,arterial,Carmelitas,0.37432,0.09616,1.06846,0.84872,0.83873,4,-25.29119,-57.5709,alta
demo_135,demo,D20,local,San Vicente,0.17007,0.03501,1.20867,0.91351,0.896,4,-25.31317,-57.60578,media
demo_136,demo,D20,colectora,Trinidad,0.1156,0.02424,1.79751,0.76016,0.79031,4,-25.2565,-57.60204,media
demo_137,demo,D00,local,Las Mercedes,0.76723,0.067,0.82764,0.85774,0.79302,2,-25.28949,-57.62351,media
demo_138,demo,D00,local,Carmelitas,0.14691,0.00216,0.51077,0.71127,0.5757,2,-25.28458,-57.57117,baja
demo_139,demo,D00,local,Carmelitas,0.77507,0.19129,0.42494,0.4076,0.85745,5,-25.28859,-57.57285,media
demo_140,demo,D00,colectora,Mburucuyá,0.58571,0.00123,0.18879,0.29478,0.59056,5,-25.27742,-57.57529,baja
demo_141,demo,D10,colectora,Carmelitas,0.56769,0.11178,7.74615,0.66847,0.52684,5,-25.28693,-57.57461,media
demo_142,demo,D10,local,Recoleta,0.2452,0.08145,11.3494,0.65149,0.51877,5,-25.29226,-57.61599,media
demo_143,demo,D00,colectora,Trinidad,0.12177,0.00177,0.18331,0.6141,0.24315,5,-25.25954,-57.5892,baja
demo_144,demo,D20,local,Trinidad,0.33423,0.11188,0.94522,0.82489,0.72979,3,-25.25541,-57.59181,alta
demo_145,demo,D00,colectora,Carmelitas,0.23739,0.01568,0.8799,0.93283,0.22096,3,-25.28068,-57.56901,baja
demo_146,demo,D00,local,Trinidad,0.13279,0.01903,1.1371,0.7017,0.074,3,-25.25746,-57.59749,baja
demo_147,demo,D20,colectora,Trinidad,0.66295,0.23847,2.91746,0.83468,0.57481,1,-25.25626,-57.59301,alta
demo_148,demo,D10,local,Las Mercedes,0.49415,0.00996,4.23141,0.84121,0.72133,2,-25.29317,-57.6217,baja
demo_149,demo,D10,local,Centro,0.16698,0.00662,4.90355,0.64411,0.5897,2,-25.2863,-57.64203,baja
demo_150,demo,D40,local,Las Mercedes,0.33568,0.00417,0.65256,0.66349,0.63199,1,-25.2934,-57.62548,media
demo_151,demo,D00,colectora,Carmelitas,0.60033,0.03772,0.32354,0.81457,0.28902,1,-25.28164,-57.57533,media
demo_152,demo,D00,colectora,Villa Morra,0.16307,0.04656,0.95677,0.6132,0.71091,1,-25.29456,-57.58158,media
demo_153,demo,D00,colectora,San Vicente,0.63164,0.26942,0.30347,0.52801,0.30047,3,-25.3135,-57.60303,media
demo_154,demo,D00,arterial,Sajonia,0.46219,0.11771,0.54288,0.7659,0.8671,3,-25.295,-57.64333,alta
demo_155,demo,D00,arterial,Barrio Obrero,0.11341,0.13171,0.44023,0.72313,0.84096,3,-25.31898,-57.62878,alta
demo_156,demo,D00,local,Centro,0.33857,0.01585,0.70751,0.72241,0.06793,1,-25.28054,-57.63378,baja
demo_157,demo,D20,local,Carmelitas,0.2862,0.03165,0.94452,0.78344,0.91355,4,-25.28044,-57.57189,media
demo_158,demo,D20,local,Recoleta,0.21887,0.04717,0.66617,0.80952,0.91136,4,-25.29446,-57.61281,media
demo_159,demo,D20,colectora,Villa Morra,0.19804,0.10891,1.08188,0.84136,0.49693,4,-25.29237,-57.58193,alta
demo_160,demo,D20,colectora,Carmelitas,0.12692,0.07735,0.88866,0.85221,0.44234,4,-25.28932,-57.57669,media
demo_161,demo,D10,arterial,Centro,0.1371,0.0051,2.36157,0.71922,0.31812,1,-25.28015,-57.64205,baja
demo_162,demo,D40,arterial,Mburucuyá,0.71664,0.01171,2.28528,0.89957,0.74888,6,-25.28048,-57.58403,alta
demo_163,demo,D40,arterial,Barrio Obrero,0.42835,0.00373,1.45937,0.93678,0.82593,6,-25.31855,-57.62603,alta
demo_164,demo,D40,local,Las Mercedes,0.17814,0.01097,1.43926,0.89565,0.63793,6,-25.29477,-57.62476,media
demo_165,demo,D40,arterial,Centro,0.17096,0.00387,1.23532,0.94255,0.83332,6,-25.284,-57.63538,alta
demo_166,demo,D20,arterial,Sajonia,0.12142,0.00873,0.92104,0.79244,0.72044,6,-25.2931,-57.64436,media
demo_167,demo,D40,local,Carmelitas,0.11311,0.0064,1.26631,0.94445,0.8321,6,-25.28813,-57.5753,media
demo_168,demo,D40,arterial,Mburucuyá,0.14755,0.03278,1.40185,0.14262,0.89201,1,-25.28152,-57.58187,alta
demo_169,demo,D40,arterial,Villa Morra,0.85712,0.0097,2.36142,0.8103,0.51708,9,-25.29752,-57.57791,alta
demo_170,demo,D40,local,Recoleta,0.40744,0.00239,1.8638,0.62997,0.52103,9,-25.28949,-57.60676,media
demo_171,demo,D40,local,Mburucuyá,0.38525,0.00827,3.1821,0.66347,0.40495,9,-25.27914,-57.58177,media
demo_172,demo,D40,local,Centro,0.30475,0.01645,3.03812,0.66432,0.43304,9,-25.28136,-57.63649,media
demo_173,demo,D40,colectora,Las Mercedes,0.28564,0.02937,3.4429,0.60014,0.23903,9,-25.29438,-57.62768,alta
demo_174,demo,D40,arterial,Sajonia,0.19831,0.00228,1.45072,0.6814,0.51892,9,-25.28871,-57.65178,alta
demo_175,demo,D00,arterial,Villa Morra,0.18121,0.01955,0.94143,0.75229,0.75732,9,-25.29614,-57.57696,media
demo_176,demo,D40,arterial,Villa Morra,0.15181,0.01029,3.05175,0.66247,0.42646,9,-25.29678,-57.57904,alta
demo_177,demo,D20,local,Mburucuyá,0.14042,0.13093,1.45647,0.84898,0.22134,9,-25.27795,-57.58223,alta
demo_178,demo,D00,colectora,Mburucuyá,0.35539,0.01125,0.35928,0.78296,0.51954,2,-25.28369,-57.58504,baja
demo_179,demo,D00,local,Villa Morra,0.26989,0.01432,0.58681,0.78197,0.39009,2,-25.29081,-57.58378,baja
demo_180,demo,D00,local,Villa Morra,0.66677,0.05856,1.49852,0.86081,0.85113,1,-25.29296,-57.57771,media
demo_181,demo,D10,arterial,Mburucuyá,0.32927,0.06735,9.09876,0.38336,0.60638,2,-25.27892,-57.58093,media
demo_182,demo,D10,local,Recoleta,0.11058,0.09112,10.39676,0.3703,0.51335,2,-25.28884,-57.61124,media
demo_183,demo,D10,arterial,Barrio Obrero,0.33995,0.04107,2.32387,0.6792,0.15465,8,-25.31238,-57.62305,media
demo_184,demo,D00,arterial,Mburucuyá,0.26752,0.01959,0.27652,0.70893,0.62681,8,-25.27933,-57.57896,media
demo_185,demo,D10,local,San Vicente,0.24435,0.01214,4.15284,0.77994,0.50453,8,-25.31108,-57.60364,baja
demo_186,demo,D10,colectora,Barrio Obrero,0.20797,0.03058,3.29263,0.6595,0.1594,8,-25.31787,-57.62887,media
demo_187,demo,D10,colectora,Recoleta,0.19102,0.02018,5.95267,0.52277,0.40897,8,-25.29862,-57.60642,media
demo_188,demo,D10,colectora,Trinidad,0.15352,0.02175,4.01598,0.55495,0.63244,8,-25.26026,-57.59315,media
demo_189,demo,D10,local,Sajonia,0.12856,0.01447,4.60703,0.56146,0.63483,8,-25.29911,-57.65189,baja
demo_190,demo,D10,local,Centro,0.10109,0.0269,4.24316,0.54587,0.65423,8,-25.28369,-57.63543,media
demo_191,demo,D00,local,Carmelitas,0.338,0.01162,0.28051,0.75096,0.33254,1,-25.28104,-57.57105,baja
demo_192,demo,D10,arterial,Recoleta,0.80284,0.12641,2.57508,0.88922,0.28875,5,-25.29252,-57.61188,alta
demo_193,demo,D00,colectora,Sajonia,0.46852,0.00515,0.49169,0.65112,0.31464,5,-25.29242,-57.65161,baja
demo_194,demo,D00,local,Trinidad,0.38196,0.02349,0.21022,0.83133,0.35309,5,-25.25991,-57.59237,media
demo_195,demo,D10,colectora,Mburucuyá,0.27512,0.05166,4.36958,0.84455,0.33096,5,-25.27931,-57.5807,media
demo_196,demo,D00,arterial,Recoleta,0.21288,0.00492,0.18725,0.75504,0.36836,5,-25.29254,-57.60882,media
demo_197,demo,D10,local,Sajonia,0.34469,0.11076,5.13288,0.10434,0.37876,6,-25.29078,-57.64941,media
demo_198,demo,D00,arterial,Mburucuyá,0.23964,0.01317,1.22481,0.49742,0.40147,6,-25.27971,-57.58864,media
demo_199,demo,D00,local,Centro,0.23157,0.02466,0.25716,0.29603,0.31554,6,-25.28868,-57.63853,media
demo_200,demo,D00,local,Trinidad,0.14952,0.03484,0.52115,0.86942,0.3864,6,-25.26178,-57.59652,media
demo_201,demo,D00,arterial,Trinidad,0.13098,0.05716,0.37905,0.34114,0.35501,6,-25.25991,-57.59712,media
demo_202,demo,D00,arterial,Carmelitas,0.10678,0.03121,0.24523,0.32367,0.3248,6,-25.28804,-57.57392,media
demo_203,demo,D20,arterial,Carmelitas,0.84543,0.27032,1.68391,0.79967,0.62088,1,-25.28454,-57.57659,alta
demo_204,demo,D10,local,Centro,0.51276,0.03831,4.58398,0.84095,0.79047,1,-25.28434,-57.63114,media
demo_205,demo,D10,local,Mburucuyá,0.15985,0.00895,10.27356,0.68458,0.26025,2,-25.28552,-57.58117,baja
demo_206,demo,D20,local,Centro,0.13656,0.0095,0.39182,0.69906,0.41897,2,-25.28093,-57.6345,baja
demo_207,demo,D00,local,Sajonia,0.72705,0.01304,0.62313,0.79367,0.16304,3,-25.29483,-57.64086,baja
demo_208,demo,D10,arterial,Mburucuyá,0.30866,0.00429,4.88723,0.73667,0.07284,3,-25.28204,-57.57548,media
demo_209,demo,D00,arterial,Villa Morra,0.28918,0.04554,1.21232,0.85119,0.88252,3,-25.29383,-57.57875,media
demo_210,demo,D00,local,Carmelitas,0.15702,0.00496,0.3675,0.70323,0.4585,2,-25.2854,-57.57093,baja
demo_211,demo,D00,arterial,San Vicente,0.15255,0.0138,0.80398,0.72038,0.56406,2,-25.31549,-57.60841,media
demo_212,demo,D40,local,Trinidad,0.34698,0.00279,1.74243,0.68716,0.5373,11,-25.25978,-57.59068,media
demo_213,demo,D40,colectora,Las Mercedes,0.27636,0.00488,2.32121,0.62401,0.15642,11,-25.2967,-57.62053,media
demo_214,demo,D40,colectora,Las Mercedes,0.24241,0.00528,1.64704,0.64205,0.55317,11,-25.28702,-57.62333,media
demo_215,demo,D40,local,Recoleta,0.23319,0.00173,1.46185,0.68753,0.5298,11,-25.29226,-57.60839,media
demo_216,demo,D40,colectora,Barrio Obrero,0.16397,0.00744,2.90752,0.58084,0.4829,11,-25.31512,-57.62815,media
demo_217,demo,D40,local,San Vicente,0.13558,0.00466,1.87679,0.57725,0.51736,11,-25.30874,-57.60774,media
demo_218,demo,D40,local,Recoleta,0.12135,0.01235,3.59668,0.626,0.21488,11,-25.28766,-57.60516,media
demo_219,demo,D40,arterial,Sajonia,0.11376,0.0053,2.42325,0.72443,0.18498,11,-25.29505,-57.64669,alta
demo_220,demo,D40,local,Mburucuyá,0.10885,0.0014,1.26223,0.65352,0.41821,11,-25.27551,-57.57203,baja
demo_221,demo,D40,colectora,Barrio Obrero,0.10585,0.00447,2.34698,0.62184,0.27703,11,-25.32261,-57.62523,media
